SKU;DESCRIÇÃO;UNID.
5005377;BOTINA DE PROTEAO ELAST. LAT. B / ACO CRIVALCA 35 U U;PAR
5005379;COND SPLIT 9000  INV FRIO ELECTROLUX U U;PC
5004178;BANDEJA SIMPLES  1UXP290MM UNICA .;UNI
5004186;UNIDADE DE IMAGEM RICOH AF 1515/MP161/171/201 . .;UN
5004504;LAMINA ACO CARBONO 60X19MM TRAPEZIO ESTILETE U U;UNI
5005388;CAIXA DE SOBREPOR P/1 MODULO C/ PLACA BR PEZZI U U;PC
5005430;MOTOR DC COMPLETO DE PARAFUSADEIRA U U;29
5005155;SACO DE PRESENTE . .;PCT
5005174;BATERIA CANON LP-E6N U U;UN
5004242;TRILHO ROLETADO BARRA . .;M
5005326;CAIXA BARRA CEREAL NUTRY U U;UNI
5005328;ANEL COBRE 1.1/2 38MM TIPO U U;PC
5005371;LAMPADA LUMINARIA SPOT LED EMB QUAD 5W 3000K U U;PC
5004409;LAMPADA LED  TUBE T8 36W - 2,40M BRANCO FRIO U U;UNI
5004568;PUFF MACA 100X80 SEM ENCHIMENTO U U;UN
5005167;ADESIVO HS83 INSTANTANEO 20G U U;PC
5004123;FITA LARGA TRANSPARENTE 45MM X 50M . .;UN
5005049;PANO MULTIUSO 30M X 50CM VERDE . .;RL
5004942;PANO MULTIUSO ROLO 30CMX50CMX25M LARANJA . .;RL
5004474;VALVULA DE PNEU . .;UN
5004031;TAMPA P CONDULETE ALUMI S/P 1 UNICA .;PC
5004033;CD PVC SOB 12/18 DISJ UNICA .;PC
5004034;TOMADA EMBUTIDA 2 TOM 2P+T 20A 3 FUN UNICA .;PC
5004286;CHALEIRA ELETRICA 1,8 LTS UNICA .;UNI
5004323;PINO FINE 35MM .;MH
5005210;ROLAMENTO 698 ZZM C3E NSK U U;PC
5004733;DISJUNTOR MOTOR 20 A 25A WEG UNICA .;PC
5004737;CINTO ELETRECISTA UNICA .;PC
5004267;ADAPTADOR MICRO USB PARA RJ 45 RAPIDO ETHERNET UNICA .;UNI
5004525;CABIDE ADULTO MEDIO CRISTAL - 10 UNIDADES U U;UNI
5004744;MEDIDOR DISTANCIA LASER 50M U U;PC
5004785;BOBINA P/ CALCULADORA 80X30 MTS TERMICA . .;UN
5004808;FIO DE COBRE ESMALTADO UNICA .;KG
5004093;BISCOITO BELVITA LEITE CX UNICA .;UNI
5004189;LEITOR CODIGO DE BARRAS  QUICKSCAN QW 2100 UNICA .;UNI
5004608;CHUMBADOR CBA JAQUETA E CONE X 1/4 U U;PC
5004096;FORNO ELETRICO FISCHER  GOURMET GRILL UNICA .;UNI
5004231;ESCADA BANQUETA ALUMINIO MOR 3 DEGRAUS UNICA .;PC
